ch,computer tape reel
mo,film roll
es,stereograph disc
ha,aperture card
hc,microfilm cassette
hz,other microform carrier
sd,audio disc
he,microfiche
no,card
hg,microopaque
pz,other microscopic carrier
cr,online resource
eh,stereograph card
gs,slide
mf,film cassette
ca,computer tape cartridge
nb,sheet
cz,other computer carrier
ce,computer disc cartridge
st,audiotape reel
gd,filmslip
vd,videodisc
gf,filmstrip
vf,videocassette
hb,microfilm cartridge
ck,computer card
sz,other audio carrier
mr,film reel
hd,microfilm reel
se,audio cylinder
nn,flipchart
hf,microfiche cassette
sg,audio cartridge
ez,other stereographic carrier
hh,microfilm slip
si,sound track reel
nr,object
hj,microfilm roll
mc,film cartridge
mz,other projected carrier
vr,videotape reel
gt,overhead transparency
na,roll
cb,computer chip cartridge
sq,audio roll
nc,volume
nz,other unmediated carrier
cd,computer disc
zu,unspecified
ss,audiocassette
gc,filmstrip cartridge
pp,microscope slide
cf,computer tape cassette
vc,video cartridge
vz,other video carrier
