1000,"Stephen A. Schwarzman Building"
1001,"Schomburg Center for Research in Black Culture"
1002,"New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center"
1100,"New York Public Library Archives"
1101,"General Research Division"
1102,"Carl H. Pforzheimer Collection of Shelley and His Circle"
1103,"Dorot Jewish Division"
1104,"Henry W. and Albert A. Berg Collection of English and American Literature"
1105,"Irma and Paul Milstein Division of United States History, Local History and Genealogy"
1106,"Lionel Pincus and Princess Firyal Map Division"
1107,"Manuscripts and Archives Division"
1108,"Rare Book Division"
1109,"George Arents Collection"
1110,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Art & Architecture Collection"
1111,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection"
1112,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection"
1113,"Spencer Collection"
1114,"Schomburg Center for Research in Black Culture, Jean Blackwell Hutson Research and Reference Division"
1115,"Schomburg Center for Research in Black Culture, Art and Artifacts Division"
1116,"Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division"
1117,"Schomburg Center for Research in Black Culture, Moving Image and Recorded Sound Division"
1118,"Schomburg Center for Research in Black Culture, Photographs and Prints Division"
1119,"Billy Rose Theatre Division"
1120,"Theatre on Film and Tape Archive"
1121,"Jerome Robbins Dance Division"
1122,"Jerome Robbins Dance Division - Audio and Moving Image"
1123,"Music Division"
1124,"Rodgers and Hammerstein Archives of Recorded Sound"
1125,"Science, Industry and Business Library: General Collection"
1126,"Children's Center at 42nd St"
1127,"Dorothy and Lewis B. Cullman Center for Scholars & Writers"
1128,"Art and Picture Collection"
1129,"Slavic and East European Collections"
1130,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs"
1500,"Mid-Manhattan Library"

